Age,Gender,Course,InternetAccess,SleepQuality,StudyMethod,FacilityRating,ExamDifficulty,Grade,StudyLevel,SleepLevel,AttendanceLevel
20,other,bca,yes,poor,selfstudy,high,easy,B,medium,regular,medium
23,female,bba,no,average,selfstudy,low,hard,C,high,good,low
23,other,bca,yes,good,selfstudy,high,moderate,C,low,bad,high
20,female,bca,yes,good,online,low,easy,C,medium,good,medium
24,male,diploma,no,average,online,low,easy,F,medium,regular,medium
19,female,bsc,yes,average,groupstudy,high,moderate,C,high,regular,low
18,other,bca,yes,good,mixed,high,moderate,C,medium,good,medium
22,other,btech,yes,poor,coaching,high,easy,F,medium,good,medium
22,male,diploma,yes,poor,online,medium,moderate,F,low,good,low
18,other,bba,yes,poor,mixed,medium,easy,B,high,good,high
23,female,bsc,yes,good,selfstudy,medium,easy,C,medium,good,medium
18,male,bcom,no,poor,online,high,moderate,C,high,bad,medium
23,female,diploma,yes,poor,coaching,low,moderate,B,high,good,medium
17,male,bba,yes,poor,groupstudy,medium,moderate,A,high,good,high
23,male,bsc,yes,good,online,low,moderate,C,high,bad,low
23,other,bca,yes,poor,mixed,low,hard,F,medium,regular,medium
23,other,bca,yes,poor,mixed,high,hard,D,low,good,high
22,female,btech,yes,average,coaching,low,hard,A,high,good,low
20,other,bsc,yes,poor,coaching,high,moderate,A,high,good,high
22,other,bca,yes,poor,groupstudy,low,easy,B,high,good,high
19,female,bcom,no,good,mixed,high,easy,C,medium,bad,low
23,male,btech,yes,average,mixed,high,moderate,B,high,good,low
21,female,bba,yes,good,coaching,low,easy,D,low,good,high
20,male,diploma,yes,good,selfstudy,low,moderate,B,medium,bad,high
21,other,ba,yes,good,groupstudy,high,easy,C,medium,good,low
21,female,diploma,yes,poor,coaching,high,moderate,F,low,regular,high
17,other,btech,yes,average,mixed,medium,moderate,F,low,good,low
18,other,bba,yes,poor,mixed,medium,easy,D,low,good,medium
18,female,bba,yes,good,selfstudy,medium,easy,D,low,good,high
17,other,diploma,yes,average,mixed,medium,moderate,A,high,regular,low
20,other,ba,yes,good,groupstudy,medium,moderate,A,high,good,high
22,other,bca,yes,poor,selfstudy,medium,moderate,A,high,bad,low
22,male,bsc,yes,poor,mixed,high,moderate,A,high,good,medium
20,female,btech,yes,average,mixed,low,moderate,A,high,regular,high
23,other,bca,yes,poor,mixed,medium,moderate,B,high,bad,low
21,other,btech,yes,good,groupstudy,low,hard,D,low,regular,high
17,female,diploma,yes,good,coaching,low,moderate,D,medium,bad,high
23,male,btech,yes,average,online,high,hard,B,high,regular,high
21,male,bba,yes,good,online,low,moderate,A,medium,good,high
22,female,ba,yes,poor,selfstudy,high,moderate,C,high,regular,high
21,female,bba,yes,good,mixed,low,moderate,B,medium,good,low
21,other,bba,yes,poor,selfstudy,high,easy,F,medium,regular,medium
17,male,ba,yes,poor,selfstudy,medium,moderate,F,medium,regular,medium
21,female,ba,yes,good,groupstudy,medium,hard,B,high,regular,high
23,male,ba,yes,average,online,medium,moderate,D,medium,good,high
19,other,bba,yes,average,coaching,low,moderate,C,medium,regular,low
21,male,bba,yes,poor,mixed,low,easy,C,medium,good,high
17,male,ba,no,poor,mixed,medium,moderate,F,medium,regular,medium
19,male,bcom,yes,good,selfstudy,low,easy,D,medium,bad,medium
20,male,btech,yes,good,mixed,low,moderate,B,high,good,medium
24,female,bca,no,good,online,high,easy,C,medium,regular,medium
18,female,bsc,yes,good,selfstudy,low,moderate,A,high,good,high
19,female,ba,no,poor,selfstudy,medium,easy,F,medium,good,medium
20,other,diploma,yes,average,selfstudy,low,hard,C,high,good,high
24,female,bca,yes,average,online,high,moderate,B,high,regular,high
23,male,bcom,yes,poor,mixed,low,hard,C,high,good,high
17,female,ba,no,good,groupstudy,high,easy,A,high,good,high
18,other,bcom,yes,average,online,medium,easy,B,medium,good,high
23,female,bba,yes,average,groupstudy,medium,easy,F,medium,bad,low
17,male,bsc,yes,good,coaching,high,hard,A,medium,bad,medium
23,other,diploma,yes,poor,mixed,high,easy,F,low,bad,low
19,other,diploma,yes,good,selfstudy,medium,easy,C,low,good,medium
24,male,bcom,yes,average,groupstudy,medium,moderate,F,low,regular,high
19,female,bsc,yes,average,selfstudy,medium,moderate,C,high,regular,high
20,female,ba,yes,average,groupstudy,low,moderate,C,low,good,medium
22,male,bba,yes,average,coaching,high,easy,A,medium,good,high
18,male,bba,yes,average,online,medium,hard,F,low,good,low
21,other,btech,no,average,mixed,high,easy,D,low,regular,high
21,female,bba,yes,poor,selfstudy,medium,moderate,F,medium,good,low
23,other,btech,yes,average,online,high,moderate,A,high,bad,low
24,female,bcom,yes,poor,mixed,low,moderate,F,medium,good,low
22,female,bca,yes,average,coaching,medium,hard,A,high,regular,high
20,other,diploma,yes,good,online,medium,easy,F,low,good,medium
20,male,bba,yes,good,mixed,high,hard,C,medium,good,medium
20,female,bsc,yes,poor,mixed,high,moderate,F,low,good,medium
23,male,bba,no,average,selfstudy,medium,easy,F,medium,good,low
19,male,btech,yes,poor,online,low,easy,F,low,regular,low
18,other,bsc,no,good,selfstudy,high,easy,F,low,good,low
19,male,btech,yes,poor,selfstudy,medium,moderate,C,high,good,medium
17,female,diploma,yes,poor,groupstudy,high,moderate,D,high,good,low
17,female,bcom,yes,good,selfstudy,medium,moderate,D,low,regular,medium
17,other,ba,yes,average,selfstudy,medium,easy,B,high,good,medium
23,female,bca,yes,poor,coaching,medium,moderate,C,high,regular,medium
22,other,diploma,no,poor,coaching,medium,moderate,F,medium,good,high
22,other,diploma,yes,average,coaching,high,moderate,D,medium,regular,low
20,other,bsc,yes,good,groupstudy,high,moderate,D,medium,bad,medium
22,other,bcom,yes,poor,online,high,easy,C,high,good,low
18,male,bcom,yes,good,selfstudy,low,moderate,A,medium,good,high
24,male,bca,yes,poor,groupstudy,medium,moderate,F,low,good,high
21,female,bcom,yes,good,selfstudy,high,moderate,F,low,regular,low
24,female,bsc,yes,average,groupstudy,medium,moderate,F,medium,bad,low
18,other,bca,yes,good,selfstudy,medium,easy,D,medium,good,low
20,other,ba,yes,average,online,low,easy,D,medium,regular,low
22,male,bca,yes,average,coaching,high,moderate,A,high,good,low
20,male,bcom,yes,average,coaching,low,hard,D,medium,good,low
20,male,ba,yes,good,online,high,moderate,A,medium,good,low
18,female,btech,yes,poor,groupstudy,medium,easy,F,low,good,low
20,female,btech,yes,average,selfstudy,low,hard,D,medium,bad,medium
18,male,btech,yes,average,groupstudy,low,easy,B,high,regular,low
19,other,bsc,yes,poor,online,medium,easy,B,high,good,medium
22,male,bcom,yes,poor,selfstudy,medium,moderate,B,high,regular,high
22,female,btech,yes,good,selfstudy,medium,easy,F,low,regular,medium
21,other,bsc,yes,poor,mixed,high,moderate,C,high,bad,low
19,male,bca,yes,poor,coaching,low,easy,A,high,regular,high
24,other,bca,yes,good,mixed,medium,easy,F,low,regular,low
17,other,bcom,yes,poor,groupstudy,low,moderate,C,high,good,low
19,other,diploma,yes,average,online,high,easy,A,high,good,medium
17,male,btech,no,average,selfstudy,high,easy,B,high,bad,low
19,female,btech,yes,good,mixed,low,easy,C,medium,good,medium
24,male,bcom,yes,poor,online,medium,hard,F,low,bad,high
19,female,bsc,yes,poor,mixed,high,moderate,A,high,good,medium
24,other,btech,yes,average,coaching,medium,easy,B,medium,bad,high
20,other,bca,no,poor,selfstudy,medium,moderate,C,high,regular,medium
22,other,diploma,yes,good,coaching,low,moderate,F,low,bad,low
20,female,bsc,yes,average,groupstudy,low,moderate,F,medium,good,medium
19,other,bcom,yes,average,coaching,high,moderate,B,high,good,medium
23,other,bca,yes,average,mixed,high,moderate,A,medium,good,high
24,other,diploma,no,poor,groupstudy,low,moderate,F,medium,good,high
19,other,bcom,yes,good,coaching,low,easy,C,high,bad,low
23,female,bba,yes,average,groupstudy,low,hard,A,high,regular,high
19,male,btech,yes,average,online,low,moderate,F,medium,regular,low
22,male,ba,yes,average,coaching,low,easy,D,medium,regular,high
23,other,diploma,yes,average,online,medium,moderate,D,medium,regular,low
20,male,ba,no,good,selfstudy,high,easy,A,medium,good,high
22,male,bba,yes,poor,mixed,high,moderate,B,high,regular,medium
19,other,bba,yes,poor,mixed,medium,moderate,C,high,regular,medium
17,female,bba,yes,good,groupstudy,low,moderate,C,medium,bad,high
17,other,bba,yes,average,selfstudy,low,easy,F,low,regular,medium
20,male,diploma,yes,average,selfstudy,low,hard,D,low,good,medium
24,female,btech,yes,average,mixed,high,moderate,D,medium,good,high
18,female,diploma,yes,good,mixed,high,easy,C,medium,regular,low
20,female,diploma,yes,average,mixed,medium,hard,A,high,good,medium
22,female,diploma,yes,average,coaching,low,moderate,A,high,good,high
18,male,bcom,yes,good,mixed,low,moderate,C,medium,regular,low
22,other,bba,yes,average,coaching,high,moderate,D,high,bad,low
19,male,bcom,yes,poor,mixed,low,hard,F,medium,regular,low
23,female,bca,yes,poor,mixed,medium,moderate,F,medium,regular,low
21,other,bcom,yes,poor,online,high,hard,B,medium,regular,high
21,female,bcom,yes,poor,groupstudy,high,hard,D,medium,regular,medium
18,male,bba,yes,average,groupstudy,high,easy,C,medium,good,low
20,male,btech,yes,good,coaching,high,hard,A,high,good,medium
23,female,bcom,yes,good,groupstudy,medium,easy,B,medium,good,low
17,female,bsc,yes,poor,groupstudy,high,moderate,C,low,good,high
23,other,bcom,no,average,mixed,high,hard,B,medium,regular,high
20,male,ba,no,good,online,low,moderate,C,high,good,low
22,female,btech,yes,average,groupstudy,low,moderate,D,low,good,low
22,male,diploma,yes,average,coaching,medium,easy,A,high,good,high
20,female,bcom,yes,poor,selfstudy,medium,moderate,A,high,good,medium
19,female,bcom,yes,poor,coaching,low,easy,B,medium,good,medium
22,male,bsc,yes,good,selfstudy,high,hard,F,medium,bad,medium
18,male,diploma,no,poor,coaching,low,easy,F,low,regular,medium
21,male,bca,yes,average,mixed,high,moderate,C,low,good,high
17,female,ba,yes,poor,mixed,high,easy,D,medium,regular,high
22,male,bcom,yes,good,coaching,high,moderate,A,high,regular,low
22,male,ba,yes,good,mixed,medium,moderate,A,high,good,high
17,male,diploma,yes,average,mixed,medium,easy,C,low,good,high
23,male,bsc,yes,average,mixed,medium,moderate,C,medium,good,low
20,male,bba,no,good,coaching,medium,hard,A,medium,regular,high
23,female,diploma,no,average,coaching,low,moderate,D,medium,bad,medium
17,male,bca,yes,average,coaching,low,easy,B,medium,good,low
18,male,diploma,yes,good,selfstudy,low,moderate,A,high,regular,high
20,male,diploma,no,poor,groupstudy,medium,hard,D,medium,good,high
18,male,btech,no,poor,groupstudy,medium,easy,F,low,regular,low
19,male,bsc,yes,average,groupstudy,medium,moderate,B,high,regular,medium
22,male,bsc,yes,average,online,low,easy,F,low,regular,medium
18,other,ba,no,average,groupstudy,low,easy,A,high,good,high
22,other,bcom,yes,average,online,high,hard,A,high,regular,low
17,male,btech,yes,good,groupstudy,low,moderate,F,low,bad,medium
18,male,ba,yes,average,groupstudy,low,hard,B,medium,regular,high
21,female,btech,yes,good,selfstudy,medium,easy,A,high,good,high
23,other,bcom,yes,average,coaching,medium,easy,C,medium,good,low
18,other,bcom,yes,good,selfstudy,high,easy,A,medium,regular,high
19,other,diploma,yes,poor,online,medium,hard,C,high,regular,low
24,male,bba,no,poor,coaching,high,moderate,B,low,bad,high
24,female,bba,yes,poor,selfstudy,medium,moderate,D,medium,regular,low
21,female,bca,yes,good,online,high,easy,C,low,regular,high
20,female,bsc,yes,good,mixed,high,moderate,D,medium,bad,high
19,other,bsc,yes,average,selfstudy,medium,easy,A,high,good,high
21,male,bca,yes,good,groupstudy,low,easy,B,high,regular,low
21,female,bca,yes,poor,groupstudy,medium,easy,C,medium,good,high
19,male,btech,yes,average,groupstudy,high,moderate,F,low,regular,medium
17,male,bsc,yes,average,groupstudy,medium,hard,A,high,good,medium
18,male,bsc,yes,poor,mixed,high,easy,C,medium,good,high
24,other,btech,no,poor,coaching,high,moderate,C,medium,good,high
20,female,bba,yes,average,groupstudy,medium,moderate,D,low,regular,medium
20,other,btech,yes,good,online,medium,moderate,F,medium,regular,low
20,other,bca,yes,good,mixed,low,moderate,C,medium,regular,medium
23,female,bba,yes,good,online,medium,hard,C,medium,regular,low
17,other,bca,yes,good,online,low,easy,C,medium,regular,low
17,male,ba,yes,good,coaching,low,easy,A,medium,good,high
19,other,diploma,yes,average,coaching,medium,moderate,B,high,bad,medium
20,male,bsc,yes,average,groupstudy,medium,moderate,C,medium,good,low
22,female,ba,no,good,selfstudy,low,moderate,A,high,good,medium
20,other,btech,yes,average,mixed,low,easy,F,low,good,low
20,other,bca,no,average,coaching,high,moderate,D,low,good,low
24,male,ba,no,good,groupstudy,low,moderate,D,low,regular,high
18,other,bsc,yes,average,groupstudy,medium,hard,F,low,good,low
21,male,bca,yes,poor,coaching,high,hard,C,medium,good,low
21,other,diploma,yes,poor,coaching,low,hard,F,low,good,low
20,female,btech,yes,poor,online,high,hard,F,low,regular,high
23,male,bca,yes,average,online,low,moderate,F,medium,bad,low
19,other,bca,yes,good,online,low,moderate,D,medium,good,low
24,other,bcom,yes,good,groupstudy,high,moderate,A,high,bad,high
19,male,bba,yes,poor,coaching,high,moderate,C,medium,regular,medium
21,male,bca,yes,poor,selfstudy,high,easy,D,high,good,low
21,male,ba,yes,average,groupstudy,low,hard,D,low,regular,high
23,female,bba,yes,good,groupstudy,high,easy,C,medium,regular,medium
20,female,btech,no,poor,mixed,low,moderate,D,medium,good,high
19,other,diploma,yes,poor,groupstudy,high,easy,C,high,bad,low
17,other,diploma,yes,average,groupstudy,high,easy,F,low,good,low
19,male,bsc,yes,poor,groupstudy,low,moderate,C,high,good,low
23,female,ba,no,average,online,low,easy,B,high,good,medium
17,other,bsc,yes,good,coaching,medium,hard,B,medium,bad,medium
24,other,bcom,yes,good,coaching,high,moderate,A,medium,bad,medium
21,male,bsc,yes,good,mixed,low,moderate,C,medium,bad,medium
18,male,diploma,yes,average,selfstudy,low,moderate,F,low,good,medium
19,male,bba,no,good,groupstudy,medium,moderate,A,high,good,medium
21,female,bca,yes,average,groupstudy,high,easy,D,high,bad,low
19,female,bca,yes,good,groupstudy,high,hard,D,low,bad,medium
17,female,bca,yes,poor,groupstudy,high,hard,D,low,regular,high
22,male,bsc,yes,good,online,medium,easy,D,medium,regular,high
22,female,bca,yes,average,selfstudy,medium,moderate,D,high,bad,low
17,male,bca,yes,average,selfstudy,low,moderate,F,medium,bad,medium
19,female,btech,yes,average,online,high,easy,C,high,good,low
18,male,btech,yes,good,groupstudy,medium,easy,F,low,good,medium
22,other,bca,yes,average,mixed,low,easy,A,high,regular,medium
22,female,bcom,yes,average,online,medium,easy,D,low,regular,high
22,male,bcom,yes,good,online,high,easy,B,medium,regular,high
24,other,bcom,no,good,coaching,low,moderate,B,high,good,low
23,other,diploma,yes,good,online,low,moderate,B,high,regular,medium
19,male,bcom,yes,average,online,high,moderate,D,medium,bad,medium
17,male,bcom,yes,average,coaching,low,hard,B,high,good,medium
21,male,bcom,yes,average,mixed,low,moderate,F,low,bad,high
24,female,btech,yes,good,groupstudy,medium,moderate,F,low,good,low
24,female,btech,yes,good,online,medium,easy,F,low,good,low
18,female,bcom,yes,good,selfstudy,high,easy,D,medium,regular,high
18,female,btech,yes,average,selfstudy,high,easy,D,high,regular,medium
17,female,bca,yes,good,online,low,moderate,B,medium,good,high
18,male,bcom,yes,average,selfstudy,low,easy,F,medium,regular,low
21,male,ba,yes,good,selfstudy,high,hard,B,high,bad,low
21,other,bcom,yes,average,coaching,medium,moderate,F,medium,good,low
19,other,bca,yes,good,selfstudy,low,moderate,D,low,good,high
19,other,bcom,yes,average,mixed,high,moderate,C,medium,good,medium
23,other,btech,yes,poor,online,high,moderate,C,high,regular,low
20,female,ba,yes,average,groupstudy,medium,easy,D,medium,regular,low
23,other,bsc,no,poor,online,high,easy,A,high,regular,high
24,other,bba,yes,average,mixed,high,moderate,C,high,regular,medium
19,other,ba,no,good,online,medium,easy,A,high,good,high
18,male,ba,yes,good,groupstudy,low,moderate,B,high,regular,high
24,male,bcom,yes,average,groupstudy,medium,moderate,D,medium,regular,low
22,female,bba,yes,good,mixed,low,easy,A,high,regular,high
19,female,bba,yes,poor,coaching,medium,easy,C,medium,good,medium
21,other,diploma,no,good,groupstudy,medium,easy,C,medium,regular,high
21,male,diploma,yes,average,selfstudy,medium,hard,D,low,good,medium
24,other,btech,yes,good,online,low,easy,A,high,good,medium
19,other,bba,yes,poor,online,high,easy,D,medium,regular,high
24,other,btech,yes,poor,coaching,medium,moderate,B,high,good,low
24,male,bcom,yes,good,coaching,high,moderate,A,high,good,medium
18,male,bca,yes,average,coaching,low,moderate,D,medium,regular,low
18,male,ba,yes,poor,mixed,high,moderate,F,medium,good,low
21,other,bca,yes,good,selfstudy,high,easy,D,low,good,medium
17,other,diploma,yes,poor,online,low,moderate,C,medium,good,high
19,female,diploma,yes,good,coaching,low,moderate,C,high,good,low
20,male,bba,no,poor,groupstudy,high,moderate,F,medium,regular,low
24,female,bba,yes,poor,coaching,medium,hard,A,medium,good,high
24,other,bca,yes,good,selfstudy,medium,moderate,B,medium,good,medium
18,female,bsc,no,average,coaching,low,moderate,F,medium,good,medium
24,male,bcom,no,poor,coaching,high,hard,F,low,regular,low
17,female,bcom,yes,good,groupstudy,medium,easy,F,low,good,medium
22,female,bca,yes,poor,online,high,moderate,A,high,good,high
23,female,bcom,yes,average,online,high,moderate,F,medium,regular,low
24,other,btech,yes,poor,groupstudy,medium,easy,F,low,regular,medium
18,male,bca,yes,poor,online,high,easy,C,medium,regular,low
24,female,bca,yes,good,mixed,low,hard,C,high,good,low
17,other,bba,yes,average,coaching,high,moderate,A,high,good,medium
21,male,diploma,yes,average,coaching,medium,moderate,B,medium,bad,medium
20,male,bca,yes,average,groupstudy,medium,moderate,A,medium,bad,medium
19,male,diploma,yes,good,mixed,low,moderate,B,high,bad,medium
17,female,bsc,yes,poor,selfstudy,low,moderate,B,high,good,medium
23,male,btech,yes,poor,mixed,high,moderate,D,high,bad,medium
19,other,bcom,yes,average,mixed,low,easy,A,high,regular,medium
22,male,bca,no,poor,coaching,medium,moderate,F,low,good,low
20,other,diploma,yes,average,selfstudy,medium,easy,F,medium,good,low
19,female,btech,no,poor,mixed,medium,easy,A,high,regular,high
24,other,bca,yes,poor,selfstudy,high,moderate,F,low,regular,low
17,female,ba,yes,poor,coaching,low,easy,D,medium,bad,medium
22,female,bca,yes,poor,coaching,medium,moderate,F,high,bad,medium
22,male,bba,yes,good,online,high,moderate,A,high,bad,high
20,female,btech,yes,poor,online,high,moderate,F,low,good,high
19,male,ba,yes,average,coaching,medium,easy,A,high,bad,high
17,male,btech,yes,poor,groupstudy,low,hard,F,low,good,low
24,other,bcom,no,average,mixed,medium,moderate,B,high,good,low
24,other,bca,yes,average,mixed,medium,easy,B,high,good,high
18,male,bba,yes,poor,online,high,moderate,B,high,good,high
17,female,bba,yes,average,mixed,high,moderate,A,high,regular,high
17,male,bba,yes,poor,groupstudy,low,moderate,A,high,regular,high
17,male,btech,yes,good,online,low,easy,D,high,regular,medium
23,female,bba,yes,average,groupstudy,medium,easy,C,medium,good,low
24,other,ba,no,good,online,low,moderate,A,medium,good,high
18,male,ba,yes,poor,online,high,easy,C,low,regular,medium
22,female,bsc,yes,good,mixed,low,easy,F,low,good,low
18,other,bba,no,good,mixed,high,hard,A,high,regular,medium
19,female,bba,yes,poor,online,high,moderate,D,low,good,high
21,male,bcom,yes,average,groupstudy,high,moderate,B,high,bad,low
22,female,btech,no,good,selfstudy,medium,moderate,C,low,regular,medium
23,other,btech,yes,poor,mixed,low,moderate,F,low,regular,medium
17,other,bcom,yes,average,mixed,low,hard,F,low,regular,low
18,female,ba,yes,poor,coaching,low,moderate,F,low,regular,high
19,male,diploma,yes,poor,online,high,moderate,F,low,regular,high
19,other,bca,yes,poor,mixed,medium,easy,D,medium,regular,low
24,other,ba,yes,poor,coaching,low,moderate,B,medium,regular,high
23,female,bcom,yes,poor,mixed,low,moderate,B,high,bad,medium
19,other,bsc,yes,average,selfstudy,medium,hard,C,medium,good,medium
24,other,btech,yes,poor,mixed,high,easy,C,high,good,high
20,male,btech,yes,poor,selfstudy,low,easy,B,high,good,high
21,female,diploma,yes,average,selfstudy,medium,moderate,F,low,regular,low
20,female,btech,yes,good,online,medium,easy,D,low,good,medium
18,female,diploma,yes,average,coaching,high,moderate,B,high,good,high
24,female,bba,yes,average,selfstudy,high,moderate,A,high,good,high
17,other,bba,yes,poor,mixed,high,moderate,D,low,good,high
18,male,diploma,yes,average,coaching,low,easy,B,high,good,high
18,female,bca,yes,average,coaching,high,moderate,B,medium,good,low
19,male,bsc,yes,average,groupstudy,high,moderate,F,low,good,medium
18,female,diploma,yes,good,selfstudy,high,easy,D,low,regular,low
17,female,bsc,yes,good,coaching,medium,moderate,B,high,bad,medium
22,male,ba,yes,average,online,low,moderate,F,medium,regular,high
24,other,bba,yes,average,selfstudy,high,moderate,B,medium,good,medium
17,male,bsc,yes,average,mixed,low,easy,F,low,bad,low
19,male,bba,yes,average,mixed,medium,easy,C,low,good,high
21,female,bba,yes,poor,coaching,low,easy,F,low,good,low
24,other,diploma,yes,average,selfstudy,high,hard,D,medium,good,low
22,male,diploma,yes,average,mixed,low,moderate,A,high,good,high
23,female,bcom,yes,average,coaching,high,moderate,A,high,good,high
21,female,bba,yes,good,selfstudy,low,moderate,F,low,good,low
20,other,bca,yes,average,selfstudy,low,moderate,F,low,good,medium
18,male,btech,yes,good,online,high,moderate,A,low,good,medium
23,male,bba,no,average,mixed,medium,moderate,A,high,good,low
23,female,diploma,yes,average,mixed,high,moderate,C,medium,regular,medium
17,male,btech,yes,poor,mixed,medium,moderate,D,high,regular,low
22,other,bca,yes,average,selfstudy,medium,easy,F,medium,good,high
17,male,btech,yes,good,selfstudy,medium,moderate,B,medium,regular,high
